City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,quiberon,47.4841,-3.1196,292.34,91,100,6.49,FR,1697073828
1,ilulissat,69.2167,-51.1,269.16,74,100,2.57,GL,1697073828
2,velez rubio,37.6484,-2.0769,289.67,75,0,0.61,ES,1697073828
3,iqaluit,63.7506,-68.5145,273.0,80,20,2.57,CA,1697073828
4,polyarnyy,69.1989,33.4478,272.53,83,95,10.7,RU,1697073828
5,waitangi,-43.9535,-176.5597,286.94,81,26,3.58,NZ,1697073828
6,lautoka,-17.6167,177.4667,303.07,54,40,7.2,FJ,1697073828
7,jumla,29.2747,82.1838,282.77,82,0,1.84,NP,1697073255
8,petropavlovsk-kamchatsky,53.0452,158.6483,278.48,73,75,6.71,RU,1697073828
9,invercargill,-46.4,168.35,285.38,75,95,7.6,NZ,1697073828
10,port-aux-francais,-49.35,70.2167,275.0,87,100,3.45,TF,1697073828
11,edinburgh of the seven seas,-37.0676,-12.3116,286.89,91,100,8.14,SH,1697073829
12,amahai,-3.3333,128.9167,301.1,73,37,1.06,ID,1697073829
13,newman,37.3138,-121.0208,294.42,40,0,4.02,US,1697073829
14,west island,-12.1568,96.8225,300.14,74,40,5.14,CC,1697073829
15,vilyuysk,63.7553,121.6247,279.35,60,22,5.81,RU,1697073829
16,grand-lahou,5.1367,-5.0242,297.96,91,97,3.38,CI,1697073829
17,bredasdorp,-34.5322,20.0403,288.79,89,100,2.37,ZA,1697073829
18,yellowknife,62.456,-114.3525,282.27,98,100,1.54,CA,1697073640
19,bilibino,68.0546,166.4372,266.46,84,100,1.99,RU,1697073829
20,thompson,55.7435,-97.8558,280.24,53,40,2.57,CA,1697073829
21,isafjordur,66.0755,-23.124,274.65,82,100,15.09,IS,1697073829
22,kapuskasing,49.4169,-82.4331,276.2,100,100,2.06,CA,1697073829
23,college,64.8569,-147.8028,271.52,81,100,2.06,US,1697073829
24,stanley,54.868,-1.6985,277.48,89,0,3.09,GB,1697073829
25,hithadhoo,-0.6,73.0833,300.5,72,9,6.14,MV,1697073679
26,margaret river,-33.95,115.0667,288.44,54,0,3.67,AU,1697073829
27,punta arenas,-53.15,-70.9167,279.21,75,40,10.29,CL,1697073829
28,olonkinbyen,70.9221,-8.7187,274.93,72,100,10.33,SJ,1697073830
29,puerto ayora,-0.7393,-90.3518,296.79,94,100,1.79,EC,1697073830
30,klyuchi,52.2667,79.1667,281.5,48,100,1.97,RU,1697073830
31,jinjiang,24.8198,118.5741,299.27,65,14,4.61,CN,1697073830
32,hermanus,-34.4187,19.2345,288.78,84,98,3.11,ZA,1697073830
33,vilyuchinsk,52.9306,158.4028,279.3,80,99,1.33,RU,1697073564
34,nizhneangarsk,55.7833,109.55,279.82,81,28,0.45,RU,1697073830
35,ushuaia,-54.8,-68.3,277.96,75,75,12.52,AR,1697073533
36,atherton,53.5237,-2.4935,283.09,96,100,1.27,GB,1697073830
37,summerside,46.3959,-63.7876,287.22,94,93,4.12,CA,1697073831
38,port elizabeth,-33.918,25.5701,291.31,96,100,5.14,ZA,1697073831
39,grytviken,-54.2811,-36.5092,268.68,80,35,4.44,GS,1697073831
40,uturoa,-16.7333,-151.4333,299.55,76,18,7.06,PF,1697073831
41,male,4.1748,73.5089,300.54,74,100,4.08,MV,1697073831
42,adamstown,-25.066,-130.1015,293.88,70,5,4.38,PN,1697073831
43,puerto natales,-51.7236,-72.4875,276.97,90,100,4.55,CL,1697073831
44,blackmans bay,-43.0167,147.3167,288.0,59,100,5.38,AU,1697073831
45,bogale,16.2833,95.4,298.74,86,70,1.6,MM,1697073831
46,dellys,36.9172,3.9131,297.27,57,1,2.49,DZ,1697073831
47,geraldton,-28.7667,114.6,297.38,22,78,5.66,AU,1697073556
48,ulanhot,46.0833,122.0833,289.12,37,0,1.7,CN,1697073831
49,karratha,-20.7377,116.8463,305.96,25,2,2.08,AU,1697073831
50,talnakh,69.4865,88.3972,272.71,97,100,1.18,RU,1697073832
51,whitehorse,60.7161,-135.0538,279.58,81,75,2.06,CA,1697073780
52,hot springs,34.5037,-93.0552,293.25,57,0,1.54,US,1697073832
53,sydney,-33.8679,151.2073,305.56,43,0,3.09,AU,1697073141
54,sinjai,-5.1241,120.253,302.72,60,81,4.73,ID,1697073832
55,port mathurin,-19.6833,63.4167,296.52,76,24,3.44,MU,1697073832
56,st. john's,47.5649,-52.7093,285.91,97,75,2.06,CA,1697073556
57,port alfred,-33.5906,26.891,289.92,98,100,1.79,ZA,1697073832
58,daru,-9.0763,143.2092,297.75,96,100,8.18,PG,1697073832
59,east london,-33.0153,27.9116,292.33,89,100,7.45,ZA,1697073832
60,ixtapa,20.7,-105.2,301.72,79,75,0.0,MX,1697073832
61,san patricio,28.017,-97.5169,297.2,85,95,3.31,US,1697073832
62,rongelap,11.1635,166.8941,301.6,76,52,5.4,MH,1697073832
63,lubang,13.8584,120.124,301.36,77,100,6.84,PH,1697073832
64,hawaiian paradise park,19.5933,-154.9731,300.22,78,75,3.6,US,1697073832
65,pisco,-13.7,-76.2167,292.6,82,0,7.2,PE,1697073832
66,rikaze,29.25,88.8833,275.82,90,100,1.34,CN,1697073832
67,albany,42.6001,-73.9662,285.62,80,100,1.25,US,1697073833
68,hobyo,5.3505,48.5268,299.66,82,94,5.5,SO,1697073833
69,enewetak,11.3474,162.3373,301.71,74,40,6.05,MH,1697073676
70,macaubas,-13.0194,-42.6986,296.1,62,0,3.37,BR,1697073833
71,codrington,-38.2667,141.9667,286.23,82,100,8.07,AU,1697073833
72,sumbawa besar,-8.5,117.4333,305.22,41,8,2.91,ID,1697073833
73,angaur state,6.906,134.13,301.53,79,29,7.91,PW,1697073833
74,kidal,18.4411,1.4078,301.47,15,18,2.7,ML,1697073833
75,vorgashor,67.5833,63.95,272.57,83,100,0.74,RU,1697073833
76,cabo san lucas,22.8909,-109.9124,304.05,77,0,5.14,MX,1697073706
77,puerto vilelas,-27.5141,-58.9391,292.19,72,100,9.77,AR,1697073833
78,lycksele,64.5954,18.6735,273.39,93,40,1.54,SE,1697073833
79,bethel,41.3712,-73.414,287.56,82,0,0.0,US,1697073833
80,ancud,-41.8697,-73.8203,279.93,82,50,2.54,CL,1697073833
81,san andres,12.5847,-81.7006,300.16,94,20,1.54,CO,1697073689
82,ushachy,55.1786,28.6035,287.31,76,100,6.92,BY,1697073833
83,georgetown,5.4112,100.3354,302.01,92,40,2.24,MY,1697073833
84,alekseyevka,50.6309,38.6903,276.42,44,98,6.32,RU,1697073834
85,don luan,11.5333,106.9167,300.1,84,66,1.56,VN,1697073834
86,nema,57.5067,50.5011,274.36,80,100,6.06,RU,1697073834
87,kingston,17.997,-76.7936,302.68,79,20,3.09,JM,1697073233
